season,tournament,sport,#,Team,MP,W,D,L,G,GD,Pts,Form
2017,serie-a-2017,football,1.0,Corinthians,38,21,9,8,50:30,20,72,
2017,serie-a-2017,football,2.0,Palmeiras,38,19,6,13,61:45,16,63,
2017,serie-a-2017,football,3.0,Santos,38,17,12,9,42:32,10,63,
2017,serie-a-2017,football,4.0,Gremio,38,18,8,12,55:36,19,62,
2017,serie-a-2017,football,5.0,Cruzeiro,38,15,12,11,47:39,8,57,
2017,serie-a-2017,football,6.0,Flamengo RJ,38,15,11,12,49:38,11,56,
2017,serie-a-2017,football,7.0,Vasco,38,15,11,12,40:47,-7,56,
2017,serie-a-2017,football,8.0,Chapecoense-SC,38,15,9,14,47:49,-2,54,
2017,serie-a-2017,football,9.0,Atletico-MG,38,14,12,12,52:49,3,54,
2017,serie-a-2017,football,10.0,Botafogo RJ,38,14,11,13,45:42,3,53,
2017,serie-a-2017,football,11.0,Athletico-PR,38,14,9,15,45:43,2,51,
2017,serie-a-2017,football,12.0,Bahia,38,13,11,14,50:48,2,50,
2017,serie-a-2017,football,13.0,Sao Paulo,38,13,11,14,48:49,-1,50,
2017,serie-a-2017,football,14.0,Fluminense,38,11,14,13,50:53,-3,47,
2017,serie-a-2017,football,15.0,Sport Recife,38,12,9,17,46:58,-12,45,
2017,serie-a-2017,football,16.0,Vitoria,38,11,10,17,50:58,-8,43,
2017,serie-a-2017,football,17.0,Coritiba,38,11,10,17,42:51,-9,43,
2017,serie-a-2017,football,18.0,Avai,38,10,13,15,29:48,-19,43,
2017,serie-a-2017,football,19.0,Ponte Preta,38,10,9,19,37:52,-15,39,
2017,serie-a-2017,football,20.0,Atletico GO,38,9,9,20,38:56,-18,36,
2018,serie-a-2018,football,1.0,Palmeiras,38,23,11,4,64:26,38,80,
2018,serie-a-2018,football,2.0,Flamengo RJ,38,21,9,8,59:29,30,72,
2018,serie-a-2018,football,3.0,Internacional,38,19,12,7,51:29,22,69,
2018,serie-a-2018,football,4.0,Gremio,38,18,12,8,48:27,21,66,
2018,serie-a-2018,football,5.0,Sao Paulo,38,16,15,7,46:34,12,63,
2018,serie-a-2018,football,6.0,Atletico-MG,38,17,8,13,56:43,13,59,
2018,serie-a-2018,football,7.0,Athletico-PR,38,16,9,13,54:37,17,57,
2018,serie-a-2018,football,8.0,Cruzeiro,38,14,11,13,34:34,0,53,
2018,serie-a-2018,football,9.0,Botafogo RJ,38,13,12,13,38:46,-8,51,
2018,serie-a-2018,football,10.0,Santos,38,13,11,14,46:40,6,50,
2018,serie-a-2018,football,11.0,Bahia,38,12,12,14,39:41,-2,48,
2018,serie-a-2018,football,12.0,Fluminense,38,12,9,17,32:46,-14,45,
2018,serie-a-2018,football,13.0,Corinthians,38,11,11,16,34:35,-1,44,
2018,serie-a-2018,football,14.0,Chapecoense-SC,38,11,11,16,34:50,-16,44,
2018,serie-a-2018,football,15.0,Ceara,38,10,14,14,32:38,-6,44,
2018,serie-a-2018,football,16.0,Vasco,38,10,13,15,41:48,-7,43,
2018,serie-a-2018,football,17.0,Sport Recife,38,11,9,18,35:57,-22,42,
2018,serie-a-2018,football,18.0,America MG,38,10,10,18,30:47,-17,40,
2018,serie-a-2018,football,19.0,Vitoria,38,9,10,19,36:63,-27,37,
2018,serie-a-2018,football,20.0,Parana,38,4,11,23,18:57,-39,23,
2019,serie-a-2019,football,1.0,Flamengo RJ,38,28,6,4,86:37,49,90,
2019,serie-a-2019,football,2.0,Santos,38,22,8,8,60:33,27,74,
2019,serie-a-2019,football,3.0,Palmeiras,38,21,11,6,61:32,29,74,
2019,serie-a-2019,football,4.0,Gremio,38,19,8,11,64:39,25,65,
2019,serie-a-2019,football,5.0,Athletico-PR,38,18,10,10,51:32,19,64,
2019,serie-a-2019,football,6.0,Sao Paulo,38,17,12,9,39:30,9,63,
2019,serie-a-2019,football,7.0,Internacional,38,16,9,13,44:39,5,57,
2019,serie-a-2019,football,8.0,Corinthians,38,14,14,10,42:34,8,56,
2019,serie-a-2019,football,9.0,Fortaleza,38,15,8,15,50:49,1,53,
2019,serie-a-2019,football,10.0,Goias,38,15,7,16,46:64,-18,52,
2019,serie-a-2019,football,11.0,Bahia,38,12,13,13,44:43,1,49,
2019,serie-a-2019,football,12.0,Vasco,38,12,13,13,39:45,-6,49,
2019,serie-a-2019,football,13.0,Atletico-MG,38,13,9,16,45:49,-4,48,
2019,serie-a-2019,football,14.0,Fluminense,38,12,10,16,38:46,-8,46,
2019,serie-a-2019,football,15.0,Botafogo RJ,38,13,4,21,31:45,-14,43,
